match_id,team1,team2,winner,venue,date,gender,match_type,overs
1289043,Kenya,Uganda,Kenya,Integrated Polytechnic Regional Centre,2021-11-17,male,T20,20
1289044,Uganda,Nigeria,Uganda,Gahanga International Cricket Stadium. Rwanda,2021-11-17,male,T20,20
1289045,Tanzania,Kenya,Tanzania,Integrated Polytechnic Regional Centre,2021-11-17,male,T20,20
1289046,Tanzania,Uganda,Uganda,Gahanga International Cricket Stadium. Rwanda,2021-11-18,male,T20,20
1289047,Nigeria,Kenya,Kenya,Integrated Polytechnic Regional Centre,2021-11-18,male,T20,20
1289048,Tanzania,Kenya,Kenya,Gahanga International Cricket Stadium. Rwanda,2021-11-18,male,T20,20
1289049,Nigeria,Uganda,Uganda,Integrated Polytechnic Regional Centre,2021-11-18,male,T20,20
1289050,Tanzania,Uganda,Uganda,Gahanga International Cricket Stadium. Rwanda,2021-11-20,male,T20,20
1289051,Kenya,Nigeria,Kenya,Integrated Polytechnic Regional Centre,2021-11-20,male,T20,20
1289052,Kenya,Uganda,Uganda,Gahanga International Cricket Stadium. Rwanda,2021-11-20,male,T20,20
1289053,Tanzania,Nigeria,Tanzania,Integrated Polytechnic Regional Centre,2021-11-20,male,T20,20
1289259,India,Australia,Australia,"Edgbaston, Birmingham",2022-07-29,female,T20,20
1289260,Barbados,Pakistan,Barbados,"Edgbaston, Birmingham",2022-07-29,female,T20,20
1289261,New Zealand,South Africa,New Zealand,"Edgbaston, Birmingham",2022-07-30,female,T20,20
1289262,Sri Lanka,England,England,"Edgbaston, Birmingham",2022-07-30,female,T20,20
1289263,Pakistan,India,India,"Edgbaston, Birmingham",2022-07-31,female,T20,20
1289264,Barbados,Australia,Australia,"Edgbaston, Birmingham",2022-07-31,female,T20,20
1289265,England,South Africa,England,"Edgbaston, Birmingham",2022-08-02,female,T20,20
1289266,New Zealand,Sri Lanka,New Zealand,"Edgbaston, Birmingham",2022-08-02,female,T20,20
1289267,Australia,Pakistan,Australia,"Edgbaston, Birmingham",2022-08-03,female,T20,20
1289268,India,Barbados,India,"Edgbaston, Birmingham",2022-08-03,female,T20,20
1289269,Sri Lanka,South Africa,South Africa,"Edgbaston, Birmingham",2022-08-04,female,T20,20
1289270,New Zealand,England,England,"Edgbaston, Birmingham",2022-08-04,female,T20,20
1289271,India,England,India,"Edgbaston, Birmingham",2022-08-06,female,T20,20
1289272,New Zealand,Australia,Australia,"Edgbaston, Birmingham",2022-08-06,female,T20,20
1289273,England,New Zealand,New Zealand,"Edgbaston, Birmingham",2022-08-07,female,T20,20
1289274,Australia,India,Australia,"Edgbaston, Birmingham",2022-08-07,female,T20,20
1289284,Nepal,Qatar,Nepal,"West End Park International Cricket Stadium, Doha",2021-11-16,female,T20,20
1289285,Nepal,Qatar,Nepal,"West End Park International Cricket Stadium, Doha",2021-11-17,female,T20,20
1289286,Nepal,Qatar,Nepal,"West End Park International Cricket Stadium, Doha",2021-11-18,female,T20,20
1291187,United States of America,Ireland,United States of America,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2021-12-22,male,T20,20
1291188,Ireland,United States of America,Ireland,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2021-12-23,male,T20,20
1296027,Malaysia,Bangladesh,Bangladesh,"Kinrara Academy Oval, Kuala Lumpur",2022-01-18,female,T20,20
1296028,Sri Lanka,Scotland,Sri Lanka,"Kinrara Academy Oval, Kuala Lumpur",2022-01-18,female,T20,20
1296029,Bangladesh,Kenya,Bangladesh,"Kinrara Academy Oval, Kuala Lumpur",2022-01-19,female,T20,20
1296030,Scotland,Malaysia,Scotland,"Kinrara Academy Oval, Kuala Lumpur",2022-01-19,female,T20,20
1296031,Kenya,Sri Lanka,Sri Lanka,"Kinrara Academy Oval, Kuala Lumpur",2022-01-20,female,T20,20
1296032,Scotland,Kenya,Scotland,"Kinrara Academy Oval, Kuala Lumpur",2022-01-22,female,T20,20
1296033,Sri Lanka,Malaysia,Sri Lanka,"Kinrara Academy Oval, Kuala Lumpur",2022-01-22,female,T20,20
